[22/10/2023 - 19:16:14] -> [Blocked IP:- GET] 185.234.216.114 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5042.0 Safari/537.36
[22/10/2023 - 19:37:11] -> [Blocked IP:- GET] 185.234.216.114 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36 Herring/95.1.8810.11
[22/10/2023 - 19:44:38] -> [Blocked IP:- GET] 185.234.216.114 - Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36
[22/10/2023 - 19:57:09] -> [Blocked IP:- GET] 185.234.216.114 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36
[22/10/2023 - 20:16:48] -> [Blocked IP:- GET] 185.234.216.114 - Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.53 Safari/537.36
[22/10/2023 - 20:25:38] -> [Blocked IP:- GET] 185.234.216.114 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36 Herring/95.1.8810.11
[22/10/2023 - 20:47:55] -> [Blocked IP:- GET] 185.234.216.114 - Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36
[22/10/2023 - 20:56:19] -> [Blocked IP:- GET] 185.234.216.114 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.53 Safari/537.36
[22/10/2023 - 21:16:19] -> [Blocked IP:- GET] 185.234.216.114 - Mozilla/5.0 (Windows NT 6.3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36
[22/10/2023 - 21:25:54] -> [Blocked IP:- GET] 185.234.216.114 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36 OpenWave/97.4.2043.44
